aaaa-mm,tipo_operacion,cantidad_buques,peso_total
2016-08,Supplies,2583,96450.37
2019-12,Others,7767,135738.354
2012-05,Cargo,4343,85618.13
2003-05,Repairs,708,3010.86
2016-12,Bunkers,3546,156647.94
2010-03,Cargo,4496,72573.38
2018-02,Others,6565,107957.03
2001-04,Cargo,4473,42473
2018-02,Bunkers,3094,152237.51
2009-04,Others,5425,44236.22
2020-09,Bunkers,3829,175279.339
2010-09,Bunkers,2962,115572.23
2007-05,Supplies,1515,34955.96
2005-07,Cargo,4551,53501.87
2015-11,Supplies,2506,91232.32
2015-01,Repairs,355,2509.31
1998-11,Others,7263,16892
2012-04,Bunkers,3177,137695.14
2016-03,Others,6956,111634.28
1993-12,Others,5738,1515.01
2004-01,Repairs,530,2602.38
1999-06,Supplies,1295,22374
2016-06,Cargo,4066,101247.08
2006-05,Supplies,1536,34434.97
2017-05,Cargo,4983,111097.33
2010-02,Cargo,3929,66964.16
2003-06,Repairs,724,3475.27
1997-08,Others,5908,17896
2005-07,Repairs,496,3161.43
2003-03,Others,7433,20524.28
2003-12,Cargo,4586,48033.54
2015-03,Supplies,2518,88649.17
2004-05,Supplies,1362,24568.55
2009-08,Supplies,1713,49063.2
2014-03,Cargo,4321,94084.08
2014-08,Others,6456,96959.37
1994-08,Supplies,1401,19537.69
2010-12,Bunkers,3106,121242.87
1998-01,Others,6432,18814
2013-11,Repairs,551,2978.96
2008-02,Cargo,4209,62237.79
2007-07,Cargo,4720,65425.93
1996-06,Supplies,1400,18786.47
2011-06,Others,5313,56661.44
2005-10,Repairs,495,3603.96
1999-04,Cargo,4689,43062.61
1999-03,Bunkers,1802,44622
2011-02,Bunkers,2798,116868.15
2009-04,Repairs,560,2965.11
1996-09,Cargo,4548,38269.27
2001-02,Supplies,1110,19252
2012-12,Cargo,4144,85223.91
2007-11,Repairs,506,2892.27
2001-10,Bunkers,1947,54371
1999-07,Cargo,4775,42395
2013-06,Others,6532,72128.22
2004-09,Supplies,1300,26583.05
1998-03,Repairs,369,3112
1998-06,Repairs,332,3296
1998-11,Bunkers,1667,40919
2007-07,Supplies,1568,37954.32
2020-07,Bunkers,3624,186570.187
2019-08,Cargo,3769,101547.048
2010-01,Cargo,4436,72602.15
2021-05,Supplies,2363,103776.581
2008-06,Cargo,4801,71120.36
2007-10,Supplies,1644,40067.4
2019-12,Bunkers,3829,196936.964
1998-05,Others,6707,17070
2004-08,Repairs,545,2996.87
2012-07,Bunkers,3151,136284.73
2013-08,Bunkers,3275,144397.41
2018-04,Cargo,4479,107848.37
1999-07,Bunkers,1759,43934
1997-11,Repairs,364,2965
2008-01,Bunkers,2671,91423.66
2002-06,Supplies,1361,26035.19
1993-02,Bunkers,1529,27641.53
2021-05,Others,1996,57786.789
2011-10,Others,5728,65296.53
2018-05,Others,7509,114064.54
2000-06,Bunkers,1765,44653
2011-11,Others,5569,65152.32
2010-05,Others,5331,49525.6
2015-09,Repairs,293,3329.53
1993-04,Others,4963,923.73
1995-06,Supplies,1300,15682.44
2006-12,Repairs,495,3049.81
2006-02,Supplies,1310,28862.04
2020-06,Cargo,3081,91387.643
2005-12,Cargo,4629,56654.56
2014-03,Others,6821,86098.66
2003-12,Repairs,618,3048.11
1993-09,Supplies,1183,17339.3
1995-08,Repairs,333,3053.91
2006-10,Repairs,525,2875.06
2002-07,Others,7942,21440.44
2003-04,Cargo,4406,43929.98
1996-05,Cargo,4613,39334.91
2000-07,Bunkers,1842,48067
1995-08,Cargo,4090,35649.14
2014-07,Others,6394,91475.87
2006-01,Bunkers,2236,70103.96
2006-04,Cargo,4347,54801.72
2013-08,Others,6879,78154.26
1997-05,Repairs,426,3443
2013-05,Supplies,2269,78301.51
1994-07,Supplies,1323,16766.65
2008-09,Cargo,4660,69358.97
2019-04,Bunkers,3290,162427.114
2016-10,Bunkers,3507,156299.18
2015-05,Repairs,365,4172.73
2006-03,Others,6078,25494.7
2017-07,Bunkers,3386,166638.61
2018-06,Repairs,219,2937.7
2000-07,Repairs,352,3472
2001-07,Others,8220,22601
2012-03,Repairs,560,3217.29
2015-06,Cargo,4084,94410.81
2013-04,Supplies,2129,73169.38
1995-12,Repairs,330,2448.77
2002-09,Cargo,4264,43188.74
2007-04,Cargo,4316,62956.4
2000-08,Supplies,1310,22904
2009-02,Supplies,1556,40343.78
2010-02,Others,5085,47745.39
2019-09,Supplies,2396,97902.677
2008-02,Others,5209,35069.91
2001-01,Bunkers,1770,47105
1997-09,Others,5942,17014
2004-03,Others,6818,21092.49
2017-03,Cargo,4550,99632.76
2019-01,Cargo,3842,99038.66
2016-01,Cargo,4134,96144.71
2020-04,Repairs,141,2839.281
2015-10,Others,6644,102282.24
1995-09,Others,6170,2256.25
1996-12,Others,8059,2637.48
2012-04,Cargo,4144,80614.21
1993-10,Supplies,1184,16473.82
2008-09,Repairs,585,4127.3
2016-07,Bunkers,3553,159899.92
2015-02,Supplies,2264,79877.14
2010-07,Repairs,753,2664.92
2020-08,Cargo,3334,98205.917
2015-09,Supplies,2379,85105.72
